July 14, 2025   17:35:25
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.172V
ip = 1.366e-6A
Ap = 1.707e-7VA

Ep = 0.720V
ip = 1.484e-5A
Ap = 6.248e-7VA

Potential/V, Current/A

0.004, 1.201e-5
0.008, 1.124e-5
0.012, 1.052e-5
0.016, 1.005e-5
0.020, 9.877e-6
0.024, 9.735e-6
0.028, 9.488e-6
0.032, 9.135e-6
0.036, 8.476e-6
0.040, 8.229e-6
0.044, 7.958e-6
0.048, 7.828e-6
0.052, 7.522e-6
0.056, 7.263e-6
0.060, 7.346e-6
0.064, 7.228e-6
0.068, 7.040e-6
0.072, 7.157e-6
0.076, 7.098e-6
0.080, 7.146e-6
0.084, 7.122e-6
0.088, 7.051e-6
0.092, 7.075e-6
0.096, 7.193e-6
0.100, 7.110e-6
0.104, 7.334e-6
0.108, 7.393e-6
0.112, 7.428e-6
0.116, 7.475e-6
0.120, 7.416e-6
0.124, 7.463e-6
0.128, 7.569e-6
0.132, 7.675e-6
0.136, 7.769e-6
0.140, 7.640e-6
0.144, 7.664e-6
0.148, 7.840e-6
0.152, 7.875e-6
0.156, 7.852e-6
0.160, 7.923e-6
0.164, 7.722e-6
0.168, 7.911e-6
0.172, 7.946e-6
0.176, 7.923e-6
0.180, 7.817e-6
0.184, 7.781e-6
0.188, 7.899e-6
0.192, 7.793e-6
0.196, 7.675e-6
0.200, 7.628e-6
0.204, 7.581e-6
0.208, 7.640e-6
0.212, 7.487e-6
0.216, 7.346e-6
0.220, 7.487e-6
0.224, 7.452e-6
0.228, 7.051e-6
0.232, 7.075e-6
0.236, 7.063e-6
0.240, 6.934e-6
0.244, 6.922e-6
0.248, 6.804e-6
0.252, 6.686e-6
0.256, 6.722e-6
0.260, 6.416e-6
0.264, 6.486e-6
0.268, 6.486e-6
0.272, 6.392e-6
0.276, 6.369e-6
0.280, 6.157e-6
0.284, 6.157e-6
0.288, 6.180e-6
0.292, 6.039e-6
0.296, 6.063e-6
0.300, 5.957e-6
0.304, 5.910e-6
0.308, 5.945e-6
0.312, 5.851e-6
0.316, 5.721e-6
0.320, 5.733e-6
0.324, 5.615e-6
0.328, 5.686e-6
0.332, 5.651e-6
0.336, 5.662e-6
0.340, 5.592e-6
0.344, 5.486e-6
0.348, 5.415e-6
0.352, 5.356e-6
0.356, 5.356e-6
0.360, 5.403e-6
0.364, 5.368e-6
0.368, 5.368e-6
0.372, 5.309e-6
0.376, 5.062e-6
0.380, 5.344e-6
0.384, 5.168e-6
0.388, 5.203e-6
0.392, 5.227e-6
0.396, 5.227e-6
0.400, 5.180e-6
0.404, 5.062e-6
0.408, 5.085e-6
0.412, 5.038e-6
0.416, 4.885e-6
0.420, 4.850e-6
0.424, 4.850e-6
0.428, 4.827e-6
0.432, 4.874e-6
0.436, 4.803e-6
0.440, 4.709e-6
0.444, 4.803e-6
0.448, 4.709e-6
0.452, 4.909e-6
0.456, 4.673e-6
0.460, 4.709e-6
0.464, 4.709e-6
0.468, 4.697e-6
0.472, 4.662e-6
0.476, 4.568e-6
0.480, 4.685e-6
0.484, 4.721e-6
0.488, 4.568e-6
0.492, 4.709e-6
0.496, 4.615e-6
0.500, 4.462e-6
0.504, 4.426e-6
0.508, 4.520e-6
0.512, 4.438e-6
0.516, 4.356e-6
0.520, 4.473e-6
0.524, 4.391e-6
0.528, 4.426e-6
0.532, 4.473e-6
0.536, 4.497e-6
0.540, 4.414e-6
0.544, 4.603e-6
0.548, 4.379e-6
0.552, 4.414e-6
0.556, 4.473e-6
0.560, 4.638e-6
0.564, 4.591e-6
0.568, 4.579e-6
0.572, 4.721e-6
0.576, 4.897e-6
0.580, 5.015e-6
0.584, 5.262e-6
0.588, 5.333e-6
0.592, 5.721e-6
0.596, 5.827e-6
0.600, 6.098e-6
0.604, 6.675e-6
0.608, 7.122e-6
0.612, 7.758e-6
0.616, 8.405e-6
0.620, 9.335e-6
0.624, 1.054e-5
0.628, 1.175e-5
0.632, 1.328e-5
0.636, 1.530e-5
0.640, 1.776e-5
0.644, 2.071e-5
0.648, 2.418e-5
0.652, 2.837e-5
0.656, 3.336e-5
0.660, 3.909e-5
0.664, 4.495e-5
0.668, 5.102e-5
0.672, 5.687e-5
0.676, 6.250e-5
0.680, 6.785e-5
0.684, 7.368e-5
0.688, 7.886e-5
0.692, 8.433e-5
0.696, 8.929e-5
0.700, 9.394e-5
0.704, 9.794e-5
0.708, 1.009e-4
0.712, 1.029e-4
0.716, 1.035e-4
0.720, 1.037e-4
0.724, 1.030e-4
0.728, 1.022e-4
0.732, 1.012e-4
